LINK,SOURCE,PHRASE,TITLE,CONTENT,DATE_ENTERED
www.businessinsider.com,"""a source said""",Exclusive: Chinese buyers circle soccer &#39;super&#39; agent Stellar Group ...,http://www.businessinsider.com/r-exclusive-chinese-buyers-circle-soccer-super-agent-stellar-group-2016-5,"... the world&#39;s most powerful soccer agencies, UK-based Stellar Group, <b>a source</b>  <b>said</b>, a sign that China&#39;s appetite for sport is outgrowing trophy club investments.",2016-05-27
www.bloomberg.com,"""insisted on anonymity""",Trump Holds First Major Presidential Fundraiser in L.A. - Bloomberg ...,http://www.bloomberg.com/politics/articles/2016-05-26/trump-holds-first-major-presidential-fundraiser-in-l-a,The person <b>insisted on anonymity</b> because the person was not authorized to  publicly discuss the internal campaign dynamics. Wiley is said to have clashed in &nbsp;...,2016-05-27
www.businessinsider.com,"""people familiar with the matter""",AT&amp;T bids for Yahoo&#39;s internet business: report - Business Insider,http://www.businessinsider.com/att-reportedly-wants-to-buy-yahoo-internet-business-2016-5,"AT&amp;T has made a bid for Yahoo&#39;s core internet business, Bloomberg reports,  citing &quot;<b>people familiar with the matter</b>.&quot;",2016-05-27
www.huffingtonpost.com,"""a person familiar with the matter""",U.S. Opens Probe Into Russia Olympic Doping,http://www.huffingtonpost.com/entry/us-russia-athletes-doping_us_573b9b4de4b0ef86171c7d85,"... The U.S. Justice Department has opened an investigation into state-sponsored  doping by Russian athletes, <b>a person familiar with the matter</b> said on Tuesday.",2016-05-27
www.businessinsider.com,"""a person close to""",Exclusive: Hyundai raids Bentley to turbo-charge Genesis luxury drive,http://www.businessinsider.com/r-exclusive-hyundai-raids-bentley-to-turbo-charge-genesis-luxury-drive-2016-5,"Hyundai Motor, which sells some 8 million cars a year, sees limited growth  unless it breaks into new markets, <b>a person close to</b> the automaker told Reuters.",2016-05-27
www.reuters.com,"""a person close to""",Telstra says $1.6 bln Autohome stake sale is being challenged by ...,http://www.reuters.com/article/autohome-ma-ping-an-ins-telstra-idUSL3N18M2MH,"Telstra does not expect the action to disrupt the sale, <b>a person close to</b> the telco  told Reuters, declining to be identified due to the sensitivity of the matter. Telstra&nbsp;...",2016-05-27
www.businessinsider.com,"""a state department official said""",Afghan Taliban leader killed in US air strike - Business Insider,http://www.businessinsider.com/afghan-taliban-leader-killed-in-us-air-strike-2016-5,"<b>A State Department official said</b> both Pakistan and Afghanistan were notified of  the strike, but did not disclose whether that notification was prior to it being&nbsp;...",2016-05-27
www.businessinsider.com,"""a government official said""",Brazil president reinstates Culture Ministry after artists protest ...,http://www.businessinsider.com/r-brazil-president-reinstates-culture-ministry-after-artists-protest-2016-5,"SAO PAULO (Reuters) - Brazil&#39;s interim President Michel Temer will reinstate the  Culture Ministry on Monday, <b>a government official said</b>, after an outcry from&nbsp;...",2016-05-27
www.businessinsider.com,"""a government official said""",&#39;Bachelor ban&#39; in Qatar tests relations with migrant workers ...,http://www.businessinsider.com/r-bachelor-ban-in-qatar-tests-relations-with-migrant-workers-2016-5,<b>A government official said</b> Qatar was seeking to improve conditions for migrant  workers. The tremendous influx of workers has also raised concern among&nbsp;...,2016-05-27
abcnews.go.com,"""a government official said""",Poland Starts Chopping Down Beetle-Infested Trees in Forest - ABC ...,http://abcnews.go.com/International/wireStory/logging-beetle-infested-trees-begins-polish-forest-39363309,"... trees in parts of Poland&#39;s oldest forest, a move that aims to eliminate dying  trees and to ensure safety for tourists, <b>a government official said</b> Wednesday.",2016-05-27
www.huffingtonpost.com,"""asked not to be identified""",6 Scams to Watch Out for This Summer,http://www.huffingtonpost.com/adam-levin/6-scams-to-watch-out-for_b_10034842.html,"According to the Atlanta Journal-Constitution, a woman who <b>asked not to be</b>  <b>identified</b> hired movers she found through an online classified ad. They delivered &nbsp;...",2016-05-27
